[Mon, 09 Apr 18 14:04:15 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:04:15 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:04:17 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:28:16 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:28:16 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:28:16 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:28:16 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:28:16 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:28:16 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:28:23 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:28:23 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:28:23 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:29:19 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:29:19 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

[Mon, 09 Apr 18 14:29:19 +0700][ERROR] [0]: Syntax error, unexpected token LIMIT, near to ' :APL0:', when parsing: SELECT [event].* FROM [event] WHERE id= LIMIT :APL0: (52)

